"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 14 19:12:10 GMT 2023","Tue Nov 14 19:12:12 GMT 2023","1378","Gradle suite","Gradle test","InventoryTest","InventoryTest","itemHasInfo","Item has info",""
"passed","Tue Nov 14 19:12:02 GMT 2023","Tue Nov 14 19:12:02 GMT 2023","276","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","userCanBeRegistered","User can be registered",""
"passed","Tue Nov 14 19:12:09 GMT 2023","Tue Nov 14 19:12:10 GMT 2023","1528","Gradle suite","Gradle test","InventoryTest","InventoryTest","itemCanBeOrdered","Item can be ordered",""
"passed","Tue Nov 14 19:12:12 GMT 2023","Tue Nov 14 19:12:13 GMT 2023","1628","Gradle suite","Gradle test","InventoryTest","InventoryTest","requiredFieldsForDeliveryInformation","Required fields for delivery information",""
"passed","Tue Nov 14 19:12:01 GMT 2023","Tue Nov 14 19:12:02 GMT 2023","278","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","userCanBeRegistered","User can be registered",""
"passed","Tue Nov 14 19:12:14 GMT 2023","Tue Nov 14 19:12:15 GMT 2023","1421","Gradle suite","Gradle test","InventoryTest","InventoryTest","taxOnMultipleProduct","Tax on multiple product",""
"passed","Tue Nov 14 19:11:59 GMT 2023","Tue Nov 14 19:11:59 GMT 2023","589","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","lockedUserCantBeRegistered","Locked user cant be registered",""
"passed","Tue Nov 14 19:12:18 GMT 2023","Tue Nov 14 19:12:19 GMT 2023","1230","Gradle suite","Gradle test","InventoryTest","InventoryTest","totalOnMultipleProduct","Total on multiple product",""
"passed","Tue Nov 14 19:12:19 GMT 2023","Tue Nov 14 19:12:20 GMT 2023","835","Gradle suite","Gradle test","InventoryTest","InventoryTest","totalOnOneProduct","Total on one product",""
"passed","Tue Nov 14 19:12:02 GMT 2023","Tue Nov 14 19:12:07 GMT 2023","5261","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","userCanBeRegistered","User can be registered",""
"passed","Tue Nov 14 19:11:59 GMT 2023","Tue Nov 14 19:12:00 GMT 2023","999","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","logoutUser","Logout user",""
"passed","Tue Nov 14 19:12:07 GMT 2023","Tue Nov 14 19:12:08 GMT 2023","723","Gradle suite","Gradle test","InventoryTest","InventoryTest","itemCanBeAddedToCard","Item can be added to card",""
"passed","Tue Nov 14 19:12:16 GMT 2023","Tue Nov 14 19:12:17 GMT 2023","1193","Gradle suite","Gradle test","InventoryTest","InventoryTest","taxOnOneProduct","Tax on one product",""
