"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 11 18:44:07 GMT 2023","Wed Oct 11 18:44:09 GMT 2023","1492","Gradle suite","Gradle test","InventoryTest","InventoryTest","itemHasInfo","Item has info",""
"passed","Wed Oct 11 18:44:05 GMT 2023","Wed Oct 11 18:44:07 GMT 2023","2049","Gradle suite","Gradle test","InventoryTest","InventoryTest","itemCanBeOrdered","Item can be ordered",""
"passed","Wed Oct 11 18:43:55 GMT 2023","Wed Oct 11 18:43:56 GMT 2023","1146","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","logoutUser","Logout user",""
"passed","Wed Oct 11 18:44:13 GMT 2023","Wed Oct 11 18:44:15 GMT 2023","1328","Gradle suite","Gradle test","InventoryTest","InventoryTest","totalOnMultipleProduct","Total on multiple product",""
"passed","Wed Oct 11 18:44:09 GMT 2023","Wed Oct 11 18:44:11 GMT 2023","1708","Gradle suite","Gradle test","InventoryTest","InventoryTest","taxOnMultipleProduct","Tax on multiple product",""
"passed","Wed Oct 11 18:43:58 GMT 2023","Wed Oct 11 18:43:58 GMT 2023","382","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","userCanBeRegistered","User can be registered",""
"passed","Wed Oct 11 18:44:04 GMT 2023","Wed Oct 11 18:44:04 GMT 2023","860","Gradle suite","Gradle test","InventoryTest","InventoryTest","itemCanBeAddedToCard","Item can be added to card",""
"passed","Wed Oct 11 18:43:54 GMT 2023","Wed Oct 11 18:43:55 GMT 2023","619","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","lockedUserCantBeRegistered","Locked user cant be registered",""
"passed","Wed Oct 11 18:43:57 GMT 2023","Wed Oct 11 18:43:58 GMT 2023","435","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","userCanBeRegistered","User can be registered",""
"passed","Wed Oct 11 18:44:11 GMT 2023","Wed Oct 11 18:44:13 GMT 2023","1416","Gradle suite","Gradle test","InventoryTest","InventoryTest","taxOnOneProduct","Tax on one product",""
"passed","Wed Oct 11 18:43:58 GMT 2023","Wed Oct 11 18:44:03 GMT 2023","5364","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","userCanBeRegistered","User can be registered",""
"passed","Wed Oct 11 18:44:15 GMT 2023","Wed Oct 11 18:44:17 GMT 2023","1240","Gradle suite","Gradle test","InventoryTest","InventoryTest","totalOnOneProduct","Total on one product",""
