"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 14 19:08:32 GMT 2023","Tue Nov 14 19:08:32 GMT 2023","293","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","userCanBeRegistered","User can be registered",""
"passed","Tue Nov 14 19:08:40 GMT 2023","Tue Nov 14 19:08:41 GMT 2023","1004","Gradle suite","Gradle test","InventoryTest","InventoryTest","itemHasInfo","Item has info",""
"passed","Tue Nov 14 19:08:41 GMT 2023","Tue Nov 14 19:08:42 GMT 2023","1392","Gradle suite","Gradle test","InventoryTest","InventoryTest","requiredFieldsForDeliveryInformation","Required fields for delivery information",""
"passed","Tue Nov 14 19:08:46 GMT 2023","Tue Nov 14 19:08:47 GMT 2023","1077","Gradle suite","Gradle test","InventoryTest","InventoryTest","totalOnMultipleProduct","Total on multiple product",""
"passed","Tue Nov 14 19:08:37 GMT 2023","Tue Nov 14 19:08:38 GMT 2023","614","Gradle suite","Gradle test","InventoryTest","InventoryTest","itemCanBeAddedToCard","Item can be added to card",""
"passed","Tue Nov 14 19:08:43 GMT 2023","Tue Nov 14 19:08:44 GMT 2023","1142","Gradle suite","Gradle test","InventoryTest","InventoryTest","taxOnMultipleProduct","Tax on multiple product",""
"passed","Tue Nov 14 19:08:32 GMT 2023","Tue Nov 14 19:08:37 GMT 2023","5267","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","userCanBeRegistered","User can be registered",""
"passed","Tue Nov 14 19:08:25 GMT 2023","Tue Nov 14 19:08:25 GMT 2023","563","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","lockedUserCantBeRegistered","Locked user cant be registered",""
"passed","Tue Nov 14 19:08:48 GMT 2023","Tue Nov 14 19:08:49 GMT 2023","822","Gradle suite","Gradle test","InventoryTest","InventoryTest","totalOnOneProduct","Total on one product",""
"failed","Tue Nov 14 19:08:25 GMT 2023","Tue Nov 14 19:08:30 GMT 2023","4763","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","logoutUser","Logout user",""
"passed","Tue Nov 14 19:08:45 GMT 2023","Tue Nov 14 19:08:46 GMT 2023","965","Gradle suite","Gradle test","InventoryTest","InventoryTest","taxOnOneProduct","Tax on one product",""
"passed","Tue Nov 14 19:08:31 GMT 2023","Tue Nov 14 19:08:32 GMT 2023","351","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","userCanBeRegistered","User can be registered",""
"passed","Tue Nov 14 19:08:39 GMT 2023","Tue Nov 14 19:08:40 GMT 2023","1350","Gradle suite","Gradle test","InventoryTest","InventoryTest","itemCanBeOrdered","Item can be ordered",""
