"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 14 19:29:24 GMT 2023","Tue Nov 14 19:29:25 GMT 2023","1284","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","logoutUser","Logout user",""
"passed","Tue Nov 14 19:29:27 GMT 2023","Tue Nov 14 19:29:27 GMT 2023","337","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","userCanBeRegistered","User can be registered",""
"passed","Tue Nov 14 19:29:40 GMT 2023","Tue Nov 14 19:29:41 GMT 2023","1626","Gradle suite","Gradle test","InventoryTest","InventoryTest","taxOnMultipleProduct","Tax on multiple product",""
"passed","Tue Nov 14 19:29:23 GMT 2023","Tue Nov 14 19:29:24 GMT 2023","646","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","lockedUserCantBeRegistered","Locked user cant be registered",""
"passed","Tue Nov 14 19:29:35 GMT 2023","Tue Nov 14 19:29:37 GMT 2023","1278","Gradle suite","Gradle test","InventoryTest","InventoryTest","itemHasInfo","Item has info",""
"passed","Tue Nov 14 19:29:34 GMT 2023","Tue Nov 14 19:29:35 GMT 2023","1477","Gradle suite","Gradle test","InventoryTest","InventoryTest","itemCanBeOrdered","Item can be ordered",""
"passed","Tue Nov 14 19:29:42 GMT 2023","Tue Nov 14 19:29:43 GMT 2023","1328","Gradle suite","Gradle test","InventoryTest","InventoryTest","taxOnOneProduct","Tax on one product",""
"passed","Tue Nov 14 19:29:46 GMT 2023","Tue Nov 14 19:29:47 GMT 2023","1324","Gradle suite","Gradle test","InventoryTest","InventoryTest","totalOnOneProduct","Total on one product",""
"passed","Tue Nov 14 19:29:26 GMT 2023","Tue Nov 14 19:29:27 GMT 2023","452","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","userCanBeRegistered","User can be registered",""
"passed","Tue Nov 14 19:29:44 GMT 2023","Tue Nov 14 19:29:45 GMT 2023","1506","Gradle suite","Gradle test","InventoryTest","InventoryTest","totalOnMultipleProduct","Total on multiple product",""
"passed","Tue Nov 14 19:29:32 GMT 2023","Tue Nov 14 19:29:33 GMT 2023","827","Gradle suite","Gradle test","InventoryTest","InventoryTest","itemCanBeAddedToCard","Item can be added to card",""
"passed","Tue Nov 14 19:29:27 GMT 2023","Tue Nov 14 19:29:32 GMT 2023","5352","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","userCanBeRegistered","User can be registered",""
"passed","Tue Nov 14 19:29:37 GMT 2023","Tue Nov 14 19:29:39 GMT 2023","2139","Gradle suite","Gradle test","InventoryTest","InventoryTest","requiredFieldsForDeliveryInformation","Required fields for delivery information",""
