"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 14 19:47:22 GMT 2023","Tue Nov 14 19:47:27 GMT 2023","5387","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","userCanBeRegistered","User can be registered",""
"passed","Tue Nov 14 19:47:27 GMT 2023","Tue Nov 14 19:47:28 GMT 2023","815","Gradle suite","Gradle test","InventoryTest","InventoryTest","itemCanBeAddedToCard","Item can be added to card",""
"passed","Tue Nov 14 19:47:13 GMT 2023","Tue Nov 14 19:47:14 GMT 2023","616","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","lockedUserCantBeRegistered","Locked user cant be registered",""
"passed","Tue Nov 14 19:47:29 GMT 2023","Tue Nov 14 19:47:30 GMT 2023","1519","Gradle suite","Gradle test","InventoryTest","InventoryTest","itemCanBeOrdered","Item can be ordered",""
"passed","Tue Nov 14 19:47:21 GMT 2023","Tue Nov 14 19:47:21 GMT 2023","346","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","userCanBeRegistered","User can be registered",""
"passed","Tue Nov 14 19:47:33 GMT 2023","Tue Nov 14 19:47:35 GMT 2023","1293","Gradle suite","Gradle test","InventoryTest","InventoryTest","taxOnMultipleProduct","Tax on multiple product",""
"passed","Tue Nov 14 19:47:14 GMT 2023","Tue Nov 14 19:47:20 GMT 2023","6102","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","logoutUser","Logout user",""
"passed","Tue Nov 14 19:47:35 GMT 2023","Tue Nov 14 19:47:36 GMT 2023","947","Gradle suite","Gradle test","InventoryTest","InventoryTest","taxOnOneProduct","Tax on one product",""
"passed","Tue Nov 14 19:47:37 GMT 2023","Tue Nov 14 19:47:38 GMT 2023","1113","Gradle suite","Gradle test","InventoryTest","InventoryTest","totalOnMultipleProduct","Total on multiple product",""
"passed","Tue Nov 14 19:47:31 GMT 2023","Tue Nov 14 19:47:33 GMT 2023","1487","Gradle suite","Gradle test","InventoryTest","InventoryTest","requiredFieldsForDeliveryInformation","Required fields for delivery information",""
"passed","Tue Nov 14 19:47:30 GMT 2023","Tue Nov 14 19:47:31 GMT 2023","1000","Gradle suite","Gradle test","InventoryTest","InventoryTest","itemHasInfo","Item has info",""
"passed","Tue Nov 14 19:47:38 GMT 2023","Tue Nov 14 19:47:39 GMT 2023","994","Gradle suite","Gradle test","InventoryTest","InventoryTest","totalOnOneProduct","Total on one product",""
"passed","Tue Nov 14 19:47:21 GMT 2023","Tue Nov 14 19:47:22 GMT 2023","349","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","userCanBeRegistered","User can be registered",""
